N,종목명,현재가,전일비,등락률,액면가,전일거래량,PER,PBR,PBR_weighted
201.0,TCC스틸,48550.0,"상승  3,300",+7.29%,1000.0,154365.0,125.13,5.53,6.636
202.0,효성,59700.0,상승  800,+1.36%,5000.0,43622.0,126.48,0.49,0.588
203.0,동원산업,34850.0,하락  250,-0.71%,1000.0,30104.0,7.17,0.46,0.552
204.0,솔루스첨단소재,17860.0,상승  250,+1.42%,100.0,760577.0,8.11,2.19,2.6279999999999997
205.0,KODEX 삼성그룹,9000.0,하락  40,-0.44%,0.0,412963.0,,,
206.0,에스디바이오센서,10040.0,상승  80,+0.80%,500.0,77571.0,-4.62,0.43,0.516
207.0,덴티움,112200.0,상승  800,+0.72%,500.0,57254.0,13.08,2.01,2.4119999999999995
208.0,대웅제약,106900.0,"상승  3,800",+3.69%,2500.0,23193.0,10.82,1.55,1.8599999999999999
209.0,롯데정밀화학,47950.0,"상승  2,250",+4.92%,5000.0,40488.0,15.44,0.51,0.612
210.0,솔루엠,24650.0,상승  250,+1.02%,500.0,326814.0,14.22,2.84,3.408
211.0,삼아알미늄,83400.0,"상승  1,400",+1.71%,500.0,120253.0,556.0,4.85,5.819999999999999
212.0,SK리츠,4530.0,상승  35,+0.78%,500.0,331022.0,348.46,0.99,1.188
213.0,ACE 미국30년국채액티브(H),8150.0,상승  50,+0.62%,0.0,1934178.0,,,
214.0,LX인터내셔널,31350.0,하락  350,-1.10%,5000.0,342492.0,16.88,0.48,0.576
215.0,LS에코에너지,39600.0,"하락  1,450",-3.53%,500.0,8645035.0,110.61,8.04,9.647999999999998
216.0,KODEX 코스닥150레버리지,10180.0,상승  200,+2.00%,0.0,17973545.0,,,
217.0,롯데칠성,129100.0,"상승  2,600",+2.06%,500.0,16451.0,8.45,0.89,1.068
218.0,신영증권,72800.0,"상승  2,900",+4.15%,5000.0,11255.0,7.05,0.37,0.444
219.0,영원무역홀딩스,87200.0,"상승  5,900",+7.26%,500.0,5619.0,3.43,0.42,0.504
220.0,KBSTAR 200,36240.0,하락  5,-0.01%,0.0,499587.0,,,
221.0,TIGER 2차전지테마,21515.0,상승  225,+1.06%,0.0,696997.0,,,
222.0,KODEX 2차전지산업,18140.0,상승  105,+0.58%,0.0,2911947.0,,,
223.0,현대백화점,49650.0,상승  200,+0.40%,5000.0,25609.0,-17.08,0.24,0.288
